,Color,Description,Latitude,Longitude,Movie
10,#56DB74,"This famous cinematic thriller describes the story of a videotape filled with haunting images that provoke a phone call, advising them of their imminent death in seven days. It was created primarily on the West Coast, including spots in Port Townsend, 5th & Stewart St in Seattle, Bellingham, Whidbey Island, Monroe, and Stanwood in Washington, in addition to locations in Oregon and California.",48.24121,-122.37071,"""The Ring"", 2002"
11,#56DB74,"This famous cinematic thriller describes the story of a videotape filled with haunting images that provoke a phone call, advising them of their imminent death in seven days. It was created primarily on the West Coast, including spots in Port Townsend, 5th & Stewart St in Seattle, Bellingham, Whidbey Island, Monroe, and Stanwood in Washington, in addition to locations in Oregon and California.",44.00013,-120.50139,"""The Ring"", 2002"
12,#56DB74,"This famous cinematic thriller describes the story of a videotape filled with haunting images that provoke a phone call, advising them of their imminent death in seven days. It was created primarily on the West Coast, including spots in Port Townsend, 5th & Stewart St in Seattle, Bellingham, Whidbey Island, Monroe, and Stanwood in Washington, in addition to locations in Oregon and California.",48.2926,-122.67628,"""The Ring"", 2002"
13,#56DB74,"This famous cinematic thriller describes the story of a videotape filled with haunting images that provoke a phone call, advising them of their imminent death in seven days. It was created primarily on the West Coast, including spots in Port Townsend, 5th & Stewart St in Seattle, Bellingham, Whidbey Island, Monroe, and Stanwood in Washington, in addition to locations in Oregon and California.",47.50012,-120.50147,"""The Ring"", 2002"
14,#56DB74,"This famous cinematic thriller describes the story of a videotape filled with haunting images that provoke a phone call, advising them of their imminent death in seven days. It was created primarily on the West Coast, including spots in Port Townsend, 5th & Stewart St in Seattle, Bellingham, Whidbey Island, Monroe, and Stanwood in Washington, in addition to locations in Oregon and California.",37.25022,-119.75126,"""The Ring"", 2002"
15,#56DB74,"This famous cinematic thriller describes the story of a videotape filled with haunting images that provoke a phone call, advising them of their imminent death in seven days. It was created primarily on the West Coast, including spots in Port Townsend, 5th & Stewart St in Seattle, Bellingham, Whidbey Island, Monroe, and Stanwood in Washington, in addition to locations in Oregon and California.",-25,122,"""The Ring"", 2002"
16,#56DB74,"This famous cinematic thriller describes the story of a videotape filled with haunting images that provoke a phone call, advising them of their imminent death in seven days. It was created primarily on the West Coast, including spots in Port Townsend, 5th & Stewart St in Seattle, Bellingham, Whidbey Island, Monroe, and Stanwood in Washington, in addition to locations in Oregon and California.",48.75955,-122.48822,"""The Ring"", 2002"
17,#56DB74,"This famous cinematic thriller describes the story of a videotape filled with haunting images that provoke a phone call, advising them of their imminent death in seven days. It was created primarily on the West Coast, including spots in Port Townsend, 5th & Stewart St in Seattle, Bellingham, Whidbey Island, Monroe, and Stanwood in Washington, in addition to locations in Oregon and California.",47.60621,-122.33207,"""The Ring"", 2002"
18,#56DB74,"This famous cinematic thriller describes the story of a videotape filled with haunting images that provoke a phone call, advising them of their imminent death in seven days. It was created primarily on the West Coast, including spots in Port Townsend, 5th & Stewart St in Seattle, Bellingham, Whidbey Island, Monroe, and Stanwood in Washington, in addition to locations in Oregon and California.",48.11704,-122.76045,"""The Ring"", 2002"
19,#C1D625,"This gripping action film starring Sylvester Stallone and Antonio Banderas portrays the story of Robert, an assassin who wants to finish a few ""jobs"" before retiring, but a ruthless beginner named Miguel kills his target, and Robert is fearful of his willingness to kill innocent bystanders. Some of the film locations included the Washington State Convention Center, Everett, and Seattle.",47.50012,-120.50147,"""Assassins"", 1995"
20,#C1D625,"This gripping action film starring Sylvester Stallone and Antonio Banderas portrays the story of Robert, an assassin who wants to finish a few ""jobs"" before retiring, but a ruthless beginner named Miguel kills his target, and Robert is fearful of his willingness to kill innocent bystanders. Some of the film locations included the Washington State Convention Center, Everett, and Seattle.",47.60621,-122.33207,"""Assassins"", 1995"
21,#EC7DBF,"This teen drama follows the story of a ""not-very-dateable"" girl named Kat, whose sister isn't allowed to have a boyfriend until she does. She attempts to set Kat up with someone, but she meets another guy, and it's a crazy (yet accurate) high school love story from there. The film stars Julia Stiles, Heath Ledger, and Joseph Gordon-Levitt, and was shot at locations all over the state, including Stadium High School in Tacoma, the Fremont Troll, Century Ballroom, Gas Works Park, Paramount Theater, Aurora Bridge, Buckaroo Tavern, Fremont Place Book Company, and more.",47.25288,-122.44429,"""10 Things I Hate About You"", 1999"
